epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81094,2.00695,4.55556,2.08074,0.56952,0.14581,0.07695,0.04923,1.41655,5.13541,1.50648,4.734e-05,4.734e-05,4.734e-05
2,16.054,1.30159,2.58976,1.41896,0.42376,0.51469,0.28744,0.1969,1.25571,3.6641,1.38058,9.63466e-05,9.63466e-05,9.63466e-05
3,24.2587,1.22442,1.59105,1.35961,0.57279,0.61476,0.60371,0.37382,1.3001,1.51217,1.49579,0.000144364,0.000144364,0.000144364
4,32.3087,1.20821,1.29635,1.34613,0.68113,0.60641,0.68051,0.45207,1.23197,1.13707,1.42212,0.000191392,0.000191392,0.000191392
5,40.229,1.17827,1.12419,1.32229,0.83756,0.69119,0.77223,0.51748,1.22817,0.89733,1.48424,0.00023743,0.00023743,0.00023743
6,48.1844,1.14458,1.00667,1.30193,0.85702,0.74711,0.81648,0.56422,1.15863,0.84454,1.4114,0.000249981,0.000249981,0.000249981
7,56.1799,1.12919,0.95497,1.31827,0.8026,0.77732,0.81862,0.53944,1.23945,0.92972,1.40574,0.000247378,0.000247378,0.000247378
8,64.1281,1.14048,0.9076,1.30981,0.85935,0.79649,0.86694,0.60113,1.1394,0.75032,1.34571,0.000244774,0.000244774,0.000244774
9,72.1396,1.14042,0.85072,1.2882,0.93073,0.78868,0.87782,0.6118,1.1446,0.64304,1.33195,0.00024217,0.00024217,0.00024217
10,80.2095,1.11231,0.79969,1.29317,0.9163,0.83587,0.89337,0.62523,1.10683,0.59785,1.31145,0.000239567,0.000239567,0.000239567
11,88.1882,1.08855,0.76843,1.27993,0.93856,0.85223,0.90823,0.63953,1.11173,0.55005,1.33098,0.000236963,0.000236963,0.000236963
12,96.2239,1.08875,0.78308,1.27195,0.95741,0.86487,0.91978,0.6584,1.07035,0.52519,1.28292,0.000234359,0.000234359,0.000234359
13,104.193,1.08285,0.73909,1.25771,0.91471,0.86765,0.91753,0.65613,1.05853,0.54939,1.28394,0.000231756,0.000231756,0.000231756
14,112.123,1.0964,0.72068,1.26473,0.94903,0.87489,0.93231,0.66957,1.08572,0.51471,1.31052,0.000229152,0.000229152,0.000229152
15,120.111,1.09065,0.71181,1.26419,0.95446,0.90249,0.96767,0.68817,1.07791,0.49571,1.34339,0.000226548,0.000226548,0.000226548
16,128.402,1.07187,0.72443,1.26055,0.95567,0.87223,0.93878,0.67628,1.05077,0.49539,1.27151,0.000223945,0.000223945,0.000223945
17,136.467,1.06075,0.68465,1.2422,0.95714,0.87208,0.93025,0.67201,1.06841,0.52699,1.27756,0.000221341,0.000221341,0.000221341
18,144.912,1.04198,0.65933,1.23742,0.88329,0.85943,0.90727,0.64781,1.11742,0.57571,1.34468,0.000218737,0.000218737,0.000218737
