epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7247,1.24009,1.36746,1.14461,0.66333,0.38132,0.37203,0.22304,1.71678,2.89682,2.09686,0.000661417,0.000661417,0.000661417
2,50.7015,1.27301,0.88169,1.15658,0.58563,0.31907,0.34253,0.21256,nan,nan,nan,0.00131494,0.00131494,0.00131494
3,75.1556,1.30614,1.04327,1.2068,0.84034,0.77826,0.82357,0.52899,1.2589,4.25809,1.31158,0.00195525,0.00195525,0.00195525
4,99.8476,1.28795,0.87841,1.16337,0.88653,0.78988,0.84404,0.52864,1.2886,1.46681,1.2982,0.0019406,0.0019406,0.0019406
5,124.686,1.2057,0.76358,1.12145,0.90701,0.80156,0.87087,0.58337,1.1876,0.88455,1.24409,0.0019208,0.0019208,0.0019208
6,149.498,1.15519,0.7301,1.10417,0.91215,0.80799,0.90424,0.60306,1.18715,0.79649,1.19428,0.001901,0.001901,0.001901
7,174.244,1.15855,0.71027,1.10299,0.92167,0.93385,0.95227,0.65553,1.10549,0.63201,1.15525,0.0018812,0.0018812,0.0018812
8,198.691,1.13962,0.66724,1.08976,0.92717,0.92218,0.95528,0.65584,1.09896,0.65272,1.16493,0.0018614,0.0018614,0.0018614
9,223.539,1.13967,0.66542,1.09045,0.94437,0.8587,0.92976,0.62908,1.11846,0.71792,1.1484,0.0018416,0.0018416,0.0018416
10,247.898,1.10577,0.63686,1.06787,0.94005,0.91519,0.9613,0.66612,1.05375,0.61308,1.11154,0.0018218,0.0018218,0.0018218
11,272.381,1.11493,0.637,1.07505,0.93509,0.84087,0.91205,0.62925,1.11059,0.79194,1.15271,0.001802,0.001802,0.001802
12,296.836,1.08344,0.615,1.06376,0.9452,0.93968,0.96477,0.68531,1.06052,0.59175,1.11289,0.0017822,0.0017822,0.0017822
13,321.36,1.09258,0.60168,1.06639,0.96295,0.91024,0.96078,0.67238,1.11097,0.61635,1.12582,0.0017624,0.0017624,0.0017624
14,346.027,1.09379,0.60967,1.06454,0.91711,0.861,0.92076,0.64216,1.12398,0.69844,1.1405,0.0017426,0.0017426,0.0017426
