epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8912,1.20639,1.46387,1.14384,0.00733,0.71206,0.00616,0.00384,1.30187,inf,2.5511,0.000658824,0.000658824,0.000658824
2,49.2134,1.23075,0.84743,1.14804,0.00296,0.1751,0.00114,0.00056,nan,nan,nan,0.00131237,0.00131237,0.00131237
3,73.2673,1.29637,0.97,1.16439,0.80677,0.56031,0.59553,0.35041,nan,nan,nan,0.00195271,0.00195271,0.00195271
4,97.3315,1.24788,0.86992,1.15789,0.79638,0.47082,0.53574,0.33403,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,121.608,1.20628,1.83244,1.11026,0.6388,0.75097,0.57409,0.37532,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,145.728,1.18651,0.77409,1.1181,0.44744,0.24903,0.2494,0.12226,2.04659,2.70357,1.6242,0.001901,0.001901,0.001901
7,170.019,1.17701,0.71516,1.10454,0.89354,0.88327,0.91372,0.60841,1.1993,0.7438,1.23636,0.0018812,0.0018812,0.0018812
8,193.85,1.14174,0.69527,1.09531,0.94861,0.93366,0.95155,0.65397,1.09404,0.75555,1.15991,0.0018614,0.0018614,0.0018614
9,218.125,1.1209,0.64934,1.07377,0.90482,0.90661,0.93572,0.62194,1.11399,0.8554,1.16033,0.0018416,0.0018416,0.0018416
10,242.314,1.11179,0.63308,1.07154,0.92744,0.89518,0.92756,0.6456,1.08111,0.66337,1.13798,0.0018218,0.0018218,0.0018218
11,266.153,1.12025,0.63165,1.06756,0.93211,0.88716,0.93257,0.63967,1.12206,0.64442,1.16627,0.001802,0.001802,0.001802
12,290.189,1.10656,0.60767,1.06378,0.93465,0.89883,0.93996,0.63069,1.10099,0.6267,1.14533,0.0017822,0.0017822,0.0017822
13,313.909,1.10679,0.60603,1.06582,0.94781,0.91863,0.95801,0.67996,1.07539,0.59078,1.11636,0.0017624,0.0017624,0.0017624
14,337.883,1.09202,0.58974,1.05616,0.88253,0.85603,0.90016,0.60177,1.17215,0.9556,1.20517,0.0017426,0.0017426,0.0017426
15,361.753,1.06909,0.60536,1.05494,0.94556,0.93385,0.95971,0.65864,1.0777,0.59879,1.13259,0.0017228,0.0017228,0.0017228
16,385.447,1.07952,0.57473,1.05711,0.95341,0.93774,0.95723,0.66505,1.05486,0.61713,1.11693,0.001703,0.001703,0.001703
17,409.388,1.07269,0.55952,1.04173,0.95108,0.90784,0.95396,0.64973,1.07939,0.62137,1.1388,0.0016832,0.0016832,0.0016832
18,433.546,1.05312,0.55828,1.04448,0.94367,0.92996,0.96163,0.65942,1.07381,0.56929,1.14201,0.0016634,0.0016634,0.0016634
19,457.571,1.0207,0.5258,1.025,0.93173,0.94163,0.96197,0.65983,1.06871,0.56619,1.12422,0.0016436,0.0016436,0.0016436
20,481.937,1.05826,0.56428,1.03279,0.9346,0.88966,0.9133,0.61266,1.10853,0.66478,1.13683,0.0016238,0.0016238,0.0016238
21,505.875,1.05079,0.56516,1.0508,0.93914,0.94163,0.95881,0.66908,1.0765,0.56796,1.12731,0.001604,0.001604,0.001604
22,529.723,1.02364,0.51944,1.0189,0.96378,0.93171,0.97395,0.67857,1.0841,0.51204,1.12538,0.0015842,0.0015842,0.0015842
23,553.639,1.0401,0.53885,1.03978,0.95729,0.88327,0.92687,0.65033,1.04961,0.67708,1.12291,0.0015644,0.0015644,0.0015644
24,577.77,1.04885,0.52499,1.05184,0.93435,0.88327,0.94214,0.63756,1.09455,0.61907,1.13951,0.0015446,0.0015446,0.0015446
25,601.968,1.04591,0.53897,1.03895,0.9511,0.91829,0.96159,0.67577,1.05394,0.59167,1.11555,0.0015248,0.0015248,0.0015248
26,626.16,1.02781,0.53633,1.03151,0.9681,0.94482,0.96621,0.68505,1.05875,0.50362,1.11588,0.001505,0.001505,0.001505
27,650.5,1.02069,0.52117,1.02221,0.94866,0.93465,0.96939,0.6672,1.10887,0.59997,1.12888,0.0014852,0.0014852,0.0014852
